workspace_id,title,year,venue,domain,task,best_model,dataset_name,uav_collected,num_classes,mIoU,mPA,F1,Dice,PA,weed_F1,crop_F1,edge_runtime,device_family,device,precision,resolution_input,fps,latency_ms,power_w,params_M,gflops
SCI-000067,RoWeeder: Unsupervised Weed Mapping through Crop-Row Detection,2024,arXiv preprint arXiv:2410.04983 (ECCV 2024 CVPPA workshop),crop-weed,semantic,RoWeeder (SegFormer-B0 based),WeedMap (Rheinbach subset),True,3,,,0.7530,,,0.5660,0.7090,Y,Desktop/Server GPU,NVIDIA RTX 4090 (consumer GPU; paper targets Jetson TX2/Nano),,512,141.4400,7.0700,,3.7100,7.3600
SCI-000074,WeedFormer: Transformer-based Crop-Weed Segmentation for UAV Imagery,2026,2026 7th International Conference on Smart Systems and Inventive Technology (ICSSIT),crop-weed,semantic,"WeedFormer (mIoU 0.8027, PA 0.9881)",WeedsGalore (UAV multispectral benchmark),True,3,0.8027,,0.8877,,0.9881,,,N,-None-,"None stated - offline model training/evaluation only; no on-device deployment, no hardware reported",,512,,,,,
SCI-000075,Weed Instance Segmentation from UAV ortho-mosaic Images based on Deep Learning,2024,bioRxiv preprint (DOI 10.1101/2024.08.13.607729),crop-weed,instance,YOLOv8 (original RGB ortho-mosaic),self-collected UAV ortho-mosaic (potato),True,3,0.5150,0.5150,,0.5298,0.9989,,,N,-None-,,,640,,,,,
SCI-000083,A U-Net Improved Version for Crop and Weed Segmentation from Aerial Images,2026,Sensors,crop-weed,semantic,U-Net variant + ConvNeXt V2 Tiny (full 480x352),"Self-collected UAV tobacco (Xampa et al., aerial imagery)",True,3,0.9225,,,0.9424,0.9790,,,Y,Desktop/Server GPU,"Desktop PC: Intel i5-9300H CPU, NVIDIA GeForce GTX 1660 Ti GPU, 8 GB RAM",,480,22.9000,43.6700,,32.5200,17.9300
SCI-000084,Crop and Weed Classication Using Pixel-wise Segmentation on Ground and Aerial Images,2020,International Journal of Robotic Computing,crop-weed,semantic,"VGG-UNet, 3-class, RED+NIR+NDVI input","Public datasets: SugarBeets, Stuttgart, Carrots, Sunflowers (plus aerial pipeline)",True,3,0.7500,0.9500,,,,,,Y,Jetson TX2,NVIDIA Jetson TX2,,,,600,,,
SCI-000089,Semi-supervised Learning for Weed and Crop Segmentation Using UAV Imagery,2022,Frontiers in Plant Science 13:927368,crop-weed,semantic,"SemiWeedNet (Ours) with ResNet50 backbone, full labeled data",WeedMap,True,3,0.7010,,,,,,,N,-None-,,,480,,,,,
SCI-000091,Weed–Crop Segmentation in Drone Images with a Novel Encoder–Decoder Framework Enhanced via Attention Modules,2023,Remote Sensing 15:5615,crop-weed,semantic,Proposed framework (DenseInception encoder + ASPP + attention decoder),"rice-weed dataset (Huang et al., Zengcheng, SCAU)",True,3,0.8100,,,,,,,N,-None-,,,1000,,,,,
SCI-000092,A DNN-based semantic segmentation for detecting weed and crop,2020,Computers and Electronics in Agriculture,crop-weed,semantic,Proposed SemiWeedNet,Bonn and Stuttgart crop/weed datasets (public),False,3,0.8901,0.9344,,,,,,N,-None-,,,,,,,,
SCI-000129,Multispectral image fusion and attention-driven deep learning for precision weed segmentation and classification in UAV-based agricultural monitoring,2026,GeoInformatica,crop-weed,semantic,"PCCSAN (DenseNet121 U-Net backbone, U-MAFT multispectral fusion, SNSFD feature decomposition, WCO optimization)",Sorghum weed-crop field UAV imagery (multispectral: G/R/REdge/NIR),True,,0.9656,,0.9876,,0.9880,,,Y,Desktop/Server GPU,NVIDIA GeForce RTX 4090 GPU (desktop); no embedded/edge deployment - future work explicitly targets 'lightweight model architectures suitable for real-time inference on UAVs',,512,1611.0000,0.6200,,2.1000,55.6000
SCI-000136,Weed segmentation in sugarcane crops using Mask R-CNN through aerial images,2020,2020 International Conference on Computational Science and Computational Intelligence (CSCI),weed-only,instance,"Mask R-CNN ResNet-101 (COCO pretrained + augmentation, R101-A-C)",Self-collected aerial sugarcane field imagery (Brazil),True,2,,,0.7520,,,,,N,-None-,,,,,,,,
SCI-000138,Crop and Weed Segmentation Using ResNet-Unet Architecture,2024,"2024 First International Conference on Data, Computation and Communication (ICDCC 2024)",crop-weed,semantic,ResNet-Unet (UNet with ResNet-50 encoder),self-collected UAV sorghum (Germany),True,3,,,0.8937,0.9290,0.9900,0.7948,0.8876,N,-None-,,,256,,,,,
SCI-000145,Towards automated weed detection through two-stage semantic segmentation of tobacco and weed pixels in aerial Imagery,2023,Smart Agricultural Technology 4:100142,crop-weed,semantic,Two-stage: Stage-I simplified + Stage-II UNet with VGG16 backbone,self-collected UAV tobacco (7 fields),True,3,0.9200,,,,,,,Y,Unknown / not stated,,,480,,,,12.7900,
SCI-000149,WeedVision: A single-stage deep learning architecture to perform weed detection and segmentation using drone-acquired images,2024,Computers and Electronics in Agriculture 219:108792,crop-weed,both,WeedVision trained on category C4 (six augmentation techniques),"self-collected UAV (soybean field, NDSU)",True,3,,,,,,,,Y,Jetson AGX Xavier,NVIDIA Jetson AGX Xavier,TorchScript & ONNX (FP32),640,,2.1000,,,
SCI-000160,From barley to rapeseed: few-shot fine-tuning of semantic segmentation models for weed detection using UAV multispectral imagery,2026,SSRN Preprint,crop-weed,semantic,U-Net (full multispectral config: RGB + NIR + RedEdge + NDVI + NDRE + VARI),"Barley fields (independent-field spatial validation) + rapeseed (cross-crop transfer), UAV multispectral",True,2,0.5448,,,,,0.6455,,N,-None-,No inference hardware/platform reported in the extracted text; no embedded/edge deployment (research/prototype pipeline),,256,,,,,
SCI-000180,CWRepViT-Net: An encoder-decoder deep learning framework with RepViT blocks for crop weed semantic segmentation in soybean fields through their life journey,2025,Smart Agricultural Technology,crop-weed,semantic,CWRepViT-Net,Drone images of soybean experiment field (six growth stages),True,5,0.9735,,0.9876,,0.9587,,,N,Efficiency-only,,,128,,,,13.6300,
SCI-000203,Improved weed segmentation in UAV imagery of sorghum fields with a combined deblurring segmentation model,2023,Plant Methods 19:87,crop-weed,semantic,DeBlurWeedSeg (NAFNet + WeedSeg),self-collected UAV sorghum (blurry-sharp pairs),True,3,,,,0.8373,,,,N,-None-,,,128,,,,,
SCI-000225,Adapting Vision-Language Models for Precision Agriculture: A Study on Crop Segmentation based on UAV Remote Sensing Data,2025,2025 13th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),crop-only,semantic,Qwen2-VL-7B (LoRA-fine-tuned),"Self-collected UAV crop dataset (corn, barley, tobacco)",True,3,0.4661,,0.4916,,,,0.7842,N,-None-,,,512,,,,,
SCI-000271,Crop Segmentation of Unmanned Aerial Vehicle Imagery Using Edge Enhancement Network,2024,IEEE Geoscience and Remote Sensing Letters 21:6003805,crop-only,semantic,EENet (proposed),self-collected UAV RGB (rice plots),True,5,0.8507,,0.9088,,,,,N,-None-,,,224,,,,,
SCI-000286,Real-Time Weed Segmentation in Tobacco Crops Utilizing Deep Learning on a Jetson Nano,2024,IEEE International Conference on Electronic Communications (ICECT 2024),crop-weed,semantic,U-Net-MobileNetV2,"self-collected UAV tobacco (Mansehra, Pakistan)",True,3,0.8510,,,,0.9600,,,Y,Jetson Nano,NVIDIA Jetson Nano,"ONNX (PyTorch, CUDA)",224,3.6900,271.2900,,,
SCI-000346,Unmanned aerial vehicle-based weed segmentation from multispectral imagery in an edge computing environment,2026,Expert Systems with Applications,crop-weed,semantic,PRC-Net (PRF fusion + CSA attention + LCFE bottleneck),"WeedMap (RedEdge-M, Sequoia) + Sesame Aerial",True,3,0.8397,,0.8910,,,,,Y,Jetson TX2,NVIDIA Jetson TX2 (desktop comparison: Intel/GPU 10.53 ms),,320,17.0500,58.6500,,13.3000,41.4600
SCI-000371,ResLMFFNet: a real-time semantic segmentation network for precision agriculture,2024,Journal of Real-Time Image Processing,crop-only,semantic,ResLMFFNet,Wheat Yellow-Rust UAV image set (DJI Matrice 100),True,2,0.8840,,0.9130,,,,0.9130,Y,Unknown / not stated,,,224,98.9100,,,1.3400,12.7300
SCI-000440,On-Edge Weed Detection Using Unmanned Aerial Vehicles,2024,SSRN preprint (not peer reviewed),crop-weed,semantic,U-Net with RGB bands (480 training images) as stated by authors; numerically highest IoU = RGB+H(4) 640 U-Net,CoFly-WeedDB,True,3,0.5192,,,0.6721,,,,Y,Jetson Nano,NVIDIA Jetson Nano,FP16 (quantized),,1.8640,536.6000,4.8060,,
SCI-000482,Deep Learning with Unsupervised Data Labeling for Weed Detection in Line Crops in UAV Images,2018,Remote Sensing,crop-weed,semantic,CNN with unsupervised (line-detection-based) data labeling,Self-collected UAV bean and spinach fields,True,2,,,,,,,,N,-None-,,,64,,,,,
SCI-000483,AgriSegNet: Deep Aerial Semantic Segmentation Framework for IoT-Assisted Precision Agriculture,2021,IEEE Sensors Journal,crop-weed,semantic,AgriSegNet,Agriculture-Vision (UAV farmland anomaly challenge dataset),True,7,,,,0.6700,,,,N,-None-,Cloud GPU server (training; per text),,512,,,,,
SCI-000488,Deep Learning-Based Weed Detection Using UAV Images: A Comparative Study,2023,Drones 7:624,crop-weed,semantic,UNet with EfficientNetB0 backbone (multiclass D2 segmentation),CoFly-WeedDB,True,4,0.5621,,0.8824,,0.8897,0.6326,,N,-None-,"None - offline (Google Colab cloud, NVIDIA T4 GPU 12 GB RAM)",,256,,,,,
SCI-000489,Cross-domain transfer learning for weed segmentation and mapping in precision farming using ground and UAV images,2023,Expert Systems with Applications 246:122980,crop-weed,semantic,Proposed cross-domain model with enhanced preprocessing (field dataset),"self-collected field + UAV (maize, weed, soil)",True,3,0.7670,0.8590,,,,,,N,Efficiency-only,,,512,,,,42.0400,
SCI-000492,Semantic Segmentation Using Deep Learning with Vegetation Indices for Rice Lodging Identification in Multi-date UAV Visible Images,2020,Remote Sensing,crop-only,semantic,FCN-AlexNet (RGB+ExGR),"Self-collected UAV rice paddies (~40 ha, Taiwan; 2017 train/test + 2019 validation)",True,5,,,0.8000,,0.9124,,0.9300,N,-None-,,,,,,,,
SCI-000501,Deep learning-based early weed segmentation using motion blurred UAV images of sorghum fields,2022,Computers and Electronics in Agriculture,crop-weed,semantic,UNet + ResNet-34,Self-collected UAV sorghum fields (BBCH 15/17/19); 2156 patches of 256x256,True,3,,,0.8937,0.9969,,,,N,-None-,,,256,,,,,
SCI-000505,Deep Learning-Driven Automatic Segmentation of Weeds and Crops in UAV Imagery,2025,Sensors,crop-weed,semantic,Ensemble (UNet+SegFormer + 2x DPT+DINOv2 + ChangeMamba+VMamba),"Self-collected UAV tobacco field (Yunnan, China)",True,3,0.9075,,,,,,,Y,Desktop/Server GPU,"NVIDIA Tesla V100 32 GB (segmentation training) and RTX 4090 (SRR + SRR experiments) server, Ubuntu 20.04",,256,2.5000,400,,,
SCI-000514,A fully convolutional network for weed mapping of unmanned aerial vehicle (UAV) imagery,2018,PLoS ONE,crop-weed,semantic,FCN-8s (VGG-16 transfer + skip),"Self-collected UAV rice field (Guangzhou, South China)",True,3,0.7520,0.8070,,,0.9350,,,N,-None-,,,,,,,,
SCI-000547,A Semantic Labeling Approach for Accurate Weed Mapping of High Resolution UAV Imagery,2018,Sensors,crop-weed,semantic,DFCN ResNet-101 ASPP-1 with CRF,"Self-collected UAV rice field (Guangdong, China)",True,3,0.7751,,,,0.9445,,,N,-None-,,,,,,,,
SCI-000548,A Field Weed Density Evaluation Method Based on UAV Imaging and Modified U-Net,2021,Remote Sensing,crop-weed,semantic,Modified U-Net,Self-collected UAV field imagery,True,3,0.9340,,,,0.9884,,,Y,Desktop/Server GPU,NVIDIA RTX 2080 Super GPU,,256,24.4500,40.9000,,,
SCI-000555,Adaptive autonomous UAV scouting for rice lodging assessment using edge computing with deep learning EDANet,2020,Computers and Electronics in Agriculture,crop-only,semantic,EDANet (RGB+ExG+ExGR),"Self-collected UAV rice (Wufeng, Taiwan; 2017 and 2019 datasets)",True,5,,,0.7851,,0.9445,,0.9519,N,-None-,,,,,,,,
SCI-000565,Lightweight Semantic Segmentation Network for Real-Time Weed Mapping Using Unmanned Aerial Vehicles,2020,Applied Sciences,crop-weed,semantic,Modified AlexNet-FCN (FP16 precision calibration),Self-collected UAV rice field,True,3,0.6280,,,,0.8090,,,Y,Jetson TX2,NVIDIA Jetson TX2,FP16,1000x1000,4.5000,,,,
SCI-000570,Use of synthetic images for training a deep learning model for weed detection and biomass estimation in cotton,2022,Scientific Reports 12:19580,crop-weed,instance,Mask R-CNN trained on original 2048x2048 real images (row-oriented synthetic second),self-collected UAV cotton (morningglory and grass weeds),True,3,,,,,,,,N,-None-,,,2048,,,,,
SCI-000582,Accurate Weed Mapping and Prescription Map Generation Based on Fully Convolutional Networks Using UAV Imagery,2018,Sensors,crop-weed,semantic,Modified FCN-4s,Self-collected UAV rice field,True,3,0.8473,,,,0.9196,,,N,-None-,,,,,,,,
SCI-000618,Detection and Counting of Maize Leaves Based on Two-Stage Deep Learning with UAV-Based RGB Image,2022,Remote Sensing 14:5388,crop-only,instance,Mask R-CNN with ResNet50 + SmoothLR loss,self-collected UAV RGB maize seedlings,True,1,,,,,,,,Y,Desktop/Server GPU,"None - offline (NVIDIA Quadro RTX 8000 48 GB, Intel Xeon Gold 6246R, 128 GB RAM, Windows 10)",,640,,70,,,
SCI-000624,Deep Convolutional Neural Networks for Weeds and Crops Discrimination From UAS Imagery,2022,Frontiers in Remote Sensing,crop-weed,semantic,DeepLab v3+ (CWFID); FCN-8s (sugarcane dataset),CWFID (crop/weed field image dataset) and sugarcane UAS dataset,True,3,,,,,0.8430,,,N,-None-,,,512,,,,,
SCI-000637,UAV-based intelligent weed detection using YOLO11 and PSPNet for precision agriculture,2025,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,crop-weed,both,YOLO11-PSPNet,Self-collected UAV rice paddy field imagery,True,2,0.9827,,,0.8320,,,,Y,Unknown / not stated,,,640,,6.2000,,,
SCI-000650,Harnessing UAVs and deep learning for accurate grass weed detection in wheat fields: a study on biomass and yield implications,2024,Plant Methods 20:144,crop-weed,semantic,DeepLabV3+,self-collected UAV hyperspectral (wheat + grass weeds),True,3,0.8880,,0.9680,,,,,Y,Desktop/Server GPU,"None - offline (NVIDIA GeForce RTX 3090 24 GB, Intel Core i7-9700K 8-core, 64 GB DDR4)",,318,,46.5000,,,
SCI-000669,Towards real-time weed detection and segmentation with lightweight CNN models on edge devices,2025,Computers and Electronics in Agriculture,crop-weed,both,MobileNetV4-Seg,UAV RGB images of corn and soybean fields infested with Palmer Amaranth,True,3,0.7680,,0.8690,,,,,Y,Jetson Orin,NVIDIA Jetson Orin Nano,FP32,256,44.0000,,,1.9300,
SCI-000683,A Low-Cost UAV System and Dataset for Real-Time Weed Detection in Salad Crops,2025,Electronics,crop-weed,semantic,Squeeze U-Net,AgriAdapt (self-collected salad crop aerial images with weeds),True,3,0.5545,,0.6968,,0.8984,,,Y,Jetson Nano,NVIDIA Jetson Nano,FP32,512,30.6000,32.7000,10.0000,2.5000,6.6000
SCI-000708,Drone-Aided Detection of Weeds: Transfer Learning for Embedded Image Processing,2022,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,crop-weed,semantic,U-Net trained with fake RGN transfer learning (SynthFakeRGN),self-collected UAV (RGB + multispectral),True,3,0.7530,,,,,,,Y,Jetson Xavier NX,NVIDIA Jetson Xavier NX,,100,,,,17.3000,
SCI-000754,"Integrating Convolutional, Transformer, and Graph Neural Networks for Precision Agriculture and Food Security",2025,AgriEngineering,crop-weed,semantic,AgroVisionNet,UAV Crop and Weed benchmark,True,2,0.8780,,0.9160,,0.9150,,,Y,Cloud GPU (Colab),"Google Colab T4 GPU (training and inference); edge deployment not implemented - paper argues feasibility on NVIDIA Jetson / Coral TPU via quantization, pruning and knowledge distillation (up to 40% size reduction) without significant accuracy loss",AMP mixed precision,224,,18.5000,,115,22
SCI-000810,AgriJetsonBench: External-Power-Referenced TensorRT Benchmarking of Agricultural Vision Models on Jetson Edge Platforms,2026,arXiv (Cornell University),crop-weed,semantic,SegFormer-B0 (segmentation workload in benchmark),Locked agricultural crop/weed detection + segmentation datasets (AgriJetsonBench),True,,0.8049,,,0.8854,,,,Y,Jetson Orin,NVIDIA Jetson AGX Orin 64GB and Jetson Orin Nano Super,INT8 (matched-budget 15 W) / FP16 (native) TensorRT,640,47.1800,21.5140,13.1500,3.7100,29.6700
SCI-000816,Deblurring-aware semantic segmentation of crops and weeds in UAV sorghum imagery via a UNet-ResNet architecture,2026,Scientific Reports,crop-weed,semantic,UNet-ResNet-34 (mDS 0.9198) + NAFNet (combined-set mDS 0.8223),"DeBlurWeedSeg (public UAV sorghum dataset, Mendeley Data)",True,3,0.7185,,,0.9198,,,,N,Efficiency-only,None - no on-device deployment performed. Complexity analysis targets a conceptual NVIDIA Jetson on-board pipeline (Fig. 8); 'a direct on-device throughput validation on embedded NVIDIA Jetson hardware was not performed and is left for future work'; training on a desktop NVIDIA RTX 3090 24GB,,128,,,,24.4000,3.9400
SCI-000852,SqueezeSlimU-Net: An Adaptive and Efficient Segmentation Architecture for Real-Time UAV Weed Detection,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,crop-weed,semantic,SSU-Net (100% width),AgriAdapt (partition 1) and Tobacco Aerial Dataset (campaign 2),True,3,0.5828,,,,0.9047,,,Y,Jetson Nano,NVIDIA Jetson Nano,FP32,512,4.2500,235,,2.5000,
SCI-000878,Soybean Field Weed Segmentation and Prescription Map Generation Based on SCG-UNet Fusion of UAV RGB and Multispectral Images.,2026,"Plants (Basel, Switzerland)",crop-weed,semantic,"SCG-UNet (RGB+NIR input: mPA 0.9235, mIoU 0.8343, Dice 0.795, F1 0.8077)","Soybean field, Henan Province, China (UAV RGB + multispectral)",True,,0.8343,0.9235,0.8077,0.7950,,,,N,Efficiency-only,"None - offline training/experiments only; workstation with Windows 10, Intel Core Ultra 9 285K, NVIDIA GeForce RTX 5080, 64 GB RAM; no on-device/edge deployment or real-time inference evaluation",,512,,,,18.1000,169.9100
SCI-000881,Class imbalance aware deep semantic segmentation framework for weed and tobacco crops in UAV imagery.,2026,Frontiers in Artificial Intelligence,crop-weed,semantic,DeepLabV3Plus ResNeSt with Lovász cross-entropy + inverse square root frequency weights,"Tobacco weed UAV image dataset (available; Moazzam et al., 2023)",True,3,0.8499,0.9020,,,0.9593,,,N,-None-,"None - offline research training/runs on Google Colab. Paper explicitly notes the ResNeSt backbone 'requires significant computing power, which could make it hard to use on small, low-powered devices like those found on drones.'",,480,,,,,
SCI-000890,A dataset of aligned RGB and multispectral UAV imagery for semantic segmentation of weedy rice.,2025,Data in Brief,crop-weed,semantic,N/A - dataset-contribution paper; no segmentation model evaluation reported,"WeedyRice-RGBMS-DB (Mekong Delta, Vietnam)",True,2,,,,,,,,N,-None-,,,,,,,,
SCI-000898,DM_CorrMatch: a semi-supervised semantic segmentation framework for rapeseed flower coverage estimation using UAV imagery.,2025,Plant Methods,crop-only,semantic,Mamba-DeepLabv3+,Rapeseed Flower Segmentation Dataset (RFSD),True,2,0.8860,,0.9410,,0.9490,,,N,Efficiency-only,,,256,,,,76.7800,84.5400
SCI-000903,Research on Segmentation Method of Maize Seedling Plant Instances Based on UAV Multispectral Remote Sensing Images.,2024,Plants 13:1842,crop-only,instance,YOLOv8m with NRG band combination,self-collected UAV multispectral (maize),True,1,,,,,,,,Y,Unknown / not stated,,,640,,30.8000,,,110.4000
SCI-000962,Lightweight Deep Learning Models for High-Precision Rice Seedling Segmentation from UAV-Based Multispectral Images.,2023,Plant Phenomics 5:0123,crop-only,semantic,"LW-Segnet (LWSegnet), best on WN145 variety test set",self-collected UAV multispectral (DJI Phantom 4 Multispectral),True,2,0.8706,,0.9200,,,,,Y,Other,Windows 10 desktop (AMD Ryzen 7 5800X) with GPU,,512,143.3000,,,10.6000,32.1000
SCI-000968,Accurate Wheat Lodging Extraction from Multi-Channel UAV Images Using a Lightweight Network Model.,2021,"Sensors (Basel, Switzerland)",crop-only,semantic,Mobile U-Net (RGB+DSM),Self-collected UAV wheat field (RGB + DSM + ExG channels),True,,0.8070,,0.8899,,0.8899,,,Y,CPU,Intel Core i7-1065G7 CPU (laptop),,256x256,1.8900,530,,9.4900,
SCI-000980,Deep Learning for Brassica Oleracea Instance Segmentation in UAV Imagery,2024,39th International Conference on Image and Vision Computing New Zealand (IVCNZ 2024),crop-only,instance,Mask R-CNN with transfer learning,Mendeley Cabbages dataset,True,2,,,,,,,,N,-None-,,,,,,,,
SCI-000981,Research on Buckwheat Weed Recognition in Multispectral UAV Images Based on MSU-Net,2025,Agriculture,crop-weed,semantic,"MSU-Net (multi-band RGB+NIR best: mPA 0.76, mIoU 0.65, Dice 0.85, F1 0.78)",Self-collected UAV buckwheat field (multispectral),True,3,0.6500,0.7600,0.7800,0.8500,,,,Y,Desktop/Server GPU,"Desktop: NVIDIA GeForce RTX 3080, Intel i7-12700F@2.10 GHz, 32 GB RAM, Windows 10",,256,77.1800,12.9600,,31.0000,54.7800
SCI-001005,Applying Knowledge Distillation to Improve Weed Mapping with Drones,2023,"Proceedings of the 18th Conference on Computer Science and Intelligence Systems (FedCSIS 2023), ACSIS 35",crop-weed,semantic,Continuation KD (student: lightweight Lawin-L0),WeedMap,True,3,,,0.8630,,,0.7360,0.8620,N,Efficiency-only,,,256,,,,0.9800,1.0000
SCI-001017,Multi-Class Weed Quantification Based on U-Net Convolutional Neural Networks Using UAV Imagery,2026,Applied Sciences,crop-weed,semantic,Residual U-Net (Mean IoU 0.8021),Custom UAV potato-crop dataset (Andean weeds),True,6,0.8021,,,0.8763,0.8240,,,Y,Cloud GPU (Colab),"None - offline. Models trained and inferred on Google Colab Pro+ (Nvidia A100 GPU 40 GB VRAM, 83.5 GB RAM). Paper notes the 515 MB Residual U-Net is 'large for UAV-based scouting' and recommends future lightweight model compression (pruning, quantization, knowledge distillation) to enable on-device embedded inference; inference speed measured on the cloud GPU only.",,128,17,58.5000,,135,
SCI-001023,AgriFusion: Multiscale RGB-NIR Fusion for Semantic Segmentation in Airborne Agricultural Imagery,2025,AgriEngineering,crop-only,semantic,AgriFusion (MiT-B1),Agriculture-Vision benchmark,False,7,0.4931,,0.6785,,0.8172,,,N,-None-,,,,,,,,
SCI-001029,Enhancing sustainable Chinese cabbage production: a comparative analysis of multispectral image instance segmentation techniques,2024,Frontiers in Sustainable Food Systems,crop-only,instance,YOLOv8-Seg,Self-collected UAV multispectral Chinese cabbage imagery,True,1,,,,,,,,N,Efficiency-only,,,640,,,,11.7000,
SCI-001046,Implementing Innovative Weed Detection Techniques for Environmental Sustainability,2024,Journal of Environmental Nanotechnology,crop-weed,instance,Mask R-CNN (UAV-tailored),Self-collected cluttered UAV plantation images,True,2,,,,,,,,N,-None-,,,,,,,,
SCI-001053,Deep Learning for Weed Detection and Segmentation in Agricultural Crops Using Images Captured by an Unmanned Aerial Vehicle,2024,Remote Sensing,crop-weed,instance,YOLOv8s,Self-collected UAV images of soybean and bean crops,True,2,,,0.9640,,0.9610,,,N,-None-,NVIDIA Tesla T4 GPU (Google Colaboratory); AMD Ryzen 7 6800H CPU; 16 GB RAM; Windows 10,,640,,,,,
SCI-001081,Uncertainty Estimation in Deep Meta-Learning for Crop and Weed Detection from Multispectral UAV Images,2022,2022 IEEE Mediterranean and Middle-East Geoscience and Remote Sensing Symposium (M2GARSS),crop-weed,semantic,Deep meta-learning squeeze-and-attention CNN,Multispectral UAV imagery (MicaSense RedEdge-MX sensor),True,3,0.8750,,,,,,,N,-None-,,,,,,,,
