study_id,title,authors,year,artifact_name,artifact_name_citation,workflow_stages,workflow_stages_citation,ai_agent_architecture,ai_agent_architecture_citation,traceability_mechanism,traceability_mechanism_citation,provenance_maturity,provenance_maturity_citation,trust_layers,trust_layers_citation,evidence_availability,evidence_availability_citation,provenance_standard_compliance,provenance_standard_compliance_citation,evaluation_benchmark,evaluation_benchmark_citation,open_gaps,open_gaps_citation
SCI-000158,System for systematic literature review using multiple AI agents: Concept and an empirical evaluation,"Sami, Rasheed, Kemell, Waseem, Kilamo, Saari, Nguyen‐Duc, Systä, Abrahamsson",2024,11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],11,[SCI-000158#methods101#chk-2024-7dbb4b-methods-10-1-72-82-2-35],"SYSTEM FOR SYSTEMATIC LITERATURE REVIEW USING

MULTIPLE AI AGENTS: CONCEPT AND AN EMPIRICAL

EVALUATION

A PREPRINT

Abdul Malik Sami Tampere University malik",[SCI-000158#systemfors#chk-2024-7dbb4b-system-for-systemati-01],Not Reported,
SCI-000108,Exploring the use of a Large Language Model for data extraction in systematic reviews: a rapid feasibility study,"Schmidt, Hair, Graziosi, Campbell, Kapp, Khanteymoori, Craig, Engelbert, Thomas",2024,2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],2,[SCI-000108#2methods#chk-2024-3a69ee-methods-09],Results are presented as descriptive statistics in terms of percentages of responses that  fell into each category,[SCI-000108#6evaluatio#chk-2024-3a69ee-evaluation-of-gpt-4--19],8,[SCI-000108#8discussio#chk-2024-3a69ee-discussion-24]
SCI-000013,2025 Auer Towards AI-Supported Research a Vision ,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,[SCI-000013#results#chk-2025-d696ed-results-13],"An initial prototype is implemented, integrating the proposed framework concepts into a workable research life cycle",[SCI-000013#5conclusio#chk-2025-d696ed-conclusion-and-outlo-23]
SCI-000014,2025 Godinez HySemRAG A Hybrid Semantic RetrievalAugmented Ge,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,"Following the extraction of raw text via document layout analysis, the pipeline proceeds to the structured field extraction stage, handled by the scripts/field_extraction",[SCI-000014#processres#chk-2025-8215e8-process-results-as-t-56],Not Reported,
SCI-000101,"Agentic AI for Scientific Discovery: A Survey of Progress, Challenges, and Future Directions","Gridach, Nanavati, Abidine, Lenon, Mack",2025,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000184,Harnessing the Power of AI for Transforming Research,"Jain, Dr. M. V. Shetty",2025,"This study employs a qualitative thematic 
content analysis approach to examine how 
Artificial Intelligence (AI) is transforming 
scientific research across disciplines",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-11],"Transition from Manual to Automated  Processes: Across disciplines, AI has  automated tasks like data annotation,  statistical analysis, literature mining, and  simulation",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-14],"Transition from Manual to Automated  Processes: Across disciplines, AI has  automated tasks like data annotation,  statistical analysis, literature mining, and  simulation",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-14],"Impact on Peer Review and Publication  Processes: AI is transforming academic  publishing by aiding editors in plagiarism  detection,  reviewer  matching,  and  automated manuscript evaluation",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-15],"This study employs a qualitative thematic 
content analysis approach to examine how 
Artificial Intelligence (AI) is transforming 
scientific research across disciplines",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-11],"Impact on Peer Review and Publication  Processes: AI is transforming academic  publishing by aiding editors in plagiarism  detection,  reviewer  matching,  and  automated manuscript evaluation",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-15],"Hypothesis  Generation  and  Experimental Design: AI systems trained  on scientific databases and literature can  suggest  novel  hypotheses,  refine  experimental variables, and optimize study  designs",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-13],"Impact on Peer Review and Publication  Processes: AI is transforming academic  publishing by aiding editors in plagiarism  detection,  reviewer  matching,  and  automated manuscript evaluation",[SCI-000184#methodolog#chk-2025-58e3bd-methodology-15],Not Reported,,"  Requirements  for  community  engagement  and  stakeholder  consultation in sensitive domains  like healthcare and social science  (Bélisle-Pipon & Victor, 2024)",[SCI-000184#conclusion#chk-2025-58e3bd-conclusion-24]
SCI-000017,2025 Jaumann LGAR ZeroShot LLMGuided Neural Ranking for Abst,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000161,Artificial intelligence in medical and biological research: promise and perils of ChatGPT and DeepSeek in advancing healthcare,"KAYAALP, GÜLTEKİN, AKÇAALAN, KAHRAMAN, TOPÇU, KAVRUL KAYAALP",2025,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,"To mitigate these issues, several strategies have  been proposed, including human-in-the-loop (HITL)  oversight, domain-specific fine-tuning, integration with  retrieval-augmented generation (RAG) systems, robust  postdeployment auditing, and clinician education on  responsible AI usage",[SCI-000161#6theperils#chk-2025-cd3a9c-the-perils-and-limit-43]
SCI-000181,Building an LLM Agent for Life Sciences Literature QA and Summarization,NISHANTH JOSEPH PAULRAJ,2025,"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Our proposed solution combines the reasoning capabilities of state-of-the-art LLMs with the factual grounding of RAG  techniques, specifically optimized for biomedical literature",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-09],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"Component  Key Features  Primary Benefits

Document  Processing

Scientific  PDF  parsing,  Section-aware  chunking

Preserves paper structure and semantic  integrity

Vector Database  Biomedical embeddings, Efficient storage  Enables semantic search at scale

LLM Integration  Context management, Citation tracking  Coherent synthesis with verifiable sources

Data Sources  PubMed API, NCBI databases, Local corpus  Comprehensive coverage across sources

User Interface  Natural  language  queries,  Interactive  exploration

Reduced cognitive load, discovery-oriented",[SCI-000181#2solutiona#chk-2025-d457ae-solution-architectur-11],"While benchmark performance provides standardized metrics, expert validation assesses real-world utility",[SCI-000181#8evaluatio#chk-2025-d457ae-evaluation-and-bench-39],Not Reported,
SCI-000020,2025 Rahgozar An AIDriven Live Systematic Reviews in the Brain,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000145,Artificial intelligence in rheumatology research: what is it good for?,"Sequí-Sabater, Benavent",2025,Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Lupus (Los Angel) 2022;31:1296–305,[SCI-000145#methodstop#chk-2025-f7e6c8-methods-to-predict-s-56],Not Reported,,"The combined strengths of discriminative and gener-
ative AI are revolutionising rheumatology research",[SCI-000145#conclusion#chk-2025-f7e6c8-conclusion-52]
SCI-000106,"Compiling Prompts, Not Crafting Them: A Reproducible Workflow for AI-Assisted Evidence Synthesis",Susnjak,2025,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000125,"Large Language Models for Automated Literature Review: An Evaluation of Reference Generation, Abstract Writing, and Review Composition","Tang, Duan, Cai",2025,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,"Finally, we observe the KPR metric across differ- ent disciplines in Review Composition, as shown in Figure 4(d)",[SCI-000125#resultsfor#chk-2025-aab4ea-results-for-review-c-28],Not Reported,
SCI-000099,Biomedical reasoning in action: Multi-agent System for Auditable Biomedical Evidence Synthesis,"Wysocki, Wysocka, Jacobo, Unsworth, André",2025,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000025,2025 Zheng Agent4S The Transformation of Research Paradigms ,,,"nology Status Research

> **Table 2: Agent4S Hierarchy**

Early Devel-

to-Agent) Early Devel-

Agent Tech-

(AI Proxies) Prompt Engi-

neering + FC

+ Context

System A2A (Agent-

Agent Tech-

+ Workflow

Engineering

chy Underlying

Reasoning

+ MCP

nology

Level Definition Agent Hierar-

AI Agents

Agentic AI

Multi-Agent

(Intelligent

Agent AI)

of Multiple

of a Single

a Single Pro-

of Complex

(Single Labo-

L3 Intelligence of

L5 Collaboration

Laboratories)

L4 Full-Process

L1 Automation

L2 Automation

Intelligence

Intelligent

Processes

Processes

(Multiple

ratory)

Tool

cess

5

> **Figure 1: Technical framework**

task flow; or chaining structure generation, first-principles calculations, and database storage into

one-click scripts for high-throughput materials computation (specific cases and references needed,

note: implementation must be workflow-driven multi-agent, where workflows can be linear, parallel,

or autonomously planned)",[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-10],agent),[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-09],"nology Status Research

> **Table 2: Agent4S Hierarchy**

Early Devel-

to-Agent) Early Devel-

Agent Tech-

(AI Proxies) Prompt Engi-

neering + FC

+ Context

System A2A (Agent-

Agent Tech-

+ Workflow

Engineering

chy Underlying

Reasoning

+ MCP

nology

Level Definition Agent Hierar-

AI Agents

Agentic AI

Multi-Agent

(Intelligent

Agent AI)

of Multiple

of a Single

a Single Pro-

of Complex

(Single Labo-

L3 Intelligence of

L5 Collaboration

Laboratories)

L4 Full-Process

L1 Automation

L2 Automation

Intelligence

Intelligent

Processes

Processes

(Multiple

ratory)

Tool

cess

5

> **Figure 1: Technical framework**

task flow; or chaining structure generation, first-principles calculations, and database storage into

one-click scripts for high-throughput materials computation (specific cases and references needed,

note: implementation must be workflow-driven multi-agent, where workflows can be linear, parallel,

or autonomously planned)",[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-10],agent),[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-09],research,[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-15],research,[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-15],"Numerical + High- Performance Com- puting Data-Driven Paradigm Big Data Massive High- Dimensional Data from Sen- sors/Automated Devices

Computer- Generated Data

Machine Learn- ing/Deep Learning

sequencing, radio telescope arrays, and social network data streams",[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-06],"Ultimately, with the advancement of full-process intelligence in each laboratory and relying on

the A2A protocol, multiple super-agents will be able to communicate with each other, enabling the

formation of an intelligent network for cross-disciplinary collaboration driven by multi-agent systems

in scientific research",[SCI-000025#methodsofd#chk-2025-b0fbd8-methods-of-data-acqu-12],Not Reported,,Not Reported,
SCI-000027,2026 Bansal Beyond the Parameters A Technical Surve,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000171,"Generative Artificial Intelligence and Large Language Models in Didactics of Sports Sciences and Physical Education: A Comprehensive Review of Pedagogical Applications, Teaching Innovations, and Research Implications","Boukari, Chokri, Samet, Dergaa, Ceylan, Souissi, Razzak, Messaoud, Solmi, Chalghaf, Dergaa",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000140,Bringing analytic rigor to agentic AI for science: The Brain Researcher platform for neuroimaging data analysis,"Chen, Lu, Li, Ricard, Ju, Wang, Kindermann, Mumford, Dillmann, Kent, Vega, Koyejo, Calhoun, Buckholtz, Zhou, Bollmann, Poldrack",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,> Without-BR (gray) and with-BR (blue) benchmark performance,[SCI-000140#results#chk-2026-d8ec89-results-17],Runtime and researcher effort were not measured,[SCI-000140#discussion#chk-2026-d8ec89-discussion-36]
SCI-000167,Knowledge graphs and large language models for prompt-based scientometric inquiry,"Correia, Saarela, Kärkkäinen",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,These datasets provide the source data and baselines for our illustrative use case,[SCI-000167#4illustrat#chk-2026-dbacfe-illustrative-use-cas-39],Some studies have already documented the beneficial effects of using KGs in scientometric tasks such as patent information  analysis (Lu et al,[SCI-000167#5discussio#chk-2026-dbacfe-discussion-60]
SCI-000083,"Large Language Models and the Future of Peer-Reviewed Medical Publishing: Challenges, Editorial Responses, and a Framework for Responsible Integration","Joo, Radnaabaatar, Jung",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,The integration of LLMs into the scholarly medical publishing ecosystem is neither reversible  nor containable within the boundaries of existing editorial frameworks,[SCI-000083#conclusion#chk-2026-149501-conclusion-49]
SCI-000032,2026 Kinas BioResearcher Scenario-Guided Multi-Age,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000033,2026 Koch Beyond Task Success An Evidence-Synthes,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000034,2026 Lin meta-pipe An LLM-agent pipeline for end,,,"The pipeline integrates four technologies: (a) Claude [11] (Anthropic) for LLM orchestration — using Opus 4 with extended thinking for complex reasoning tasks (screening adjudication, risk-of-bias assessment, manuscript generation) and Haiku 3",[SCI-000034#2methods#chk-2026-325eda-methods-07],"The pipeline integrates four technologies: (a) Claude [11] (Anthropic) for LLM orchestration — using Opus 4 with extended thinking for complex reasoning tasks (screening adjudication, risk-of-bias assessment, manuscript generation) and Haiku 3",[SCI-000034#2methods#chk-2026-325eda-methods-07],"The pipeline integrates four technologies: (a) Claude [11] (Anthropic) for LLM orchestration — using Opus 4 with extended thinking for complex reasoning tasks (screening adjudication, risk-of-bias assessment, manuscript generation) and Haiku 3",[SCI-000034#2methods#chk-2026-325eda-methods-07],Network meta-analysis uses a dual-paradigm approach: Bayesian (gemtc [14] with MCMC) and frequen- tist (netmeta [15]),[SCI-000034#2methods#chk-2026-325eda-methods-10],2,[SCI-000034#2methods#chk-2026-325eda-methods-06],Network meta-analysis uses a dual-paradigm approach: Bayesian (gemtc [14] with MCMC) and frequen- tist (netmeta [15]),[SCI-000034#2methods#chk-2026-325eda-methods-10],Network meta-analysis uses a dual-paradigm approach: Bayesian (gemtc [14] with MCMC) and frequen- tist (netmeta [15]),[SCI-000034#2methods#chk-2026-325eda-methods-10],2,[SCI-000034#2methods#chk-2026-325eda-methods-06],3,[SCI-000034#3results#chk-2026-325eda-results-11],4,[SCI-000034#4discussio#chk-2026-325eda-discussion-13]
SCI-000172,Advanced Semantic Analysis of Research Papers Using a Retrieval-Augmented Architecture,"MOŢĂŢĂIANU, PĂVĂLOIU",2026,"There was preferred an architecture based on Azure services (Storage, Cognitive Search,  OpenAi, Compute) due to their proved performance in different critical areas, as: reliability of the  services, integration between components and with other external tools, but also to high standards  related to the data security and privacy",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-05],"Advanced Semantic Analysis of Research   Papers Using a Retrieval-Augmented Architecture

Alexandru MOŢĂŢĂIANU  National University of Science and Technology POLITEHNICA Bucharest, Bucharest, Romania

*Corresponding author, amotataianu@stud",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-01],"The contribution of this study is represented by the design of an end to end architecture  (from data acquisition to aggregated responses), integrating mature software tools as Azure AI  Search (for embeddings and vector spaces) and OpenAI for language processing, with  complementary custom Python tools developed for automating and scaling up the entire process,  plus creation of a progressive methodology for testing the results, achieving a solution that  responds to the need of traceability and reducing hallucinations (Meacham & Sharafzad, 2025) in  research domain",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-06],"There was preferred an architecture based on Azure services (Storage, Cognitive Search,  OpenAi, Compute) due to their proved performance in different critical areas, as: reliability of the  services, integration between components and with other external tools, but also to high standards  related to the data security and privacy",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-05],"There was preferred an architecture based on Azure services (Storage, Cognitive Search,  OpenAi, Compute) due to their proved performance in different critical areas, as: reliability of the  services, integration between components and with other external tools, but also to high standards  related to the data security and privacy",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-05],"There were evaluated how clean the generated answers against the hallucinations were, the  presence of citations and how well were the answers matching the questions intent",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-15],"There were evaluated how clean the generated answers against the hallucinations were, the  presence of citations and how well were the answers matching the questions intent",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-15],"There was preferred an architecture based on Azure services (Storage, Cognitive Search,  OpenAi, Compute) due to their proved performance in different critical areas, as: reliability of the  services, integration between components and with other external tools, but also to high standards  related to the data security and privacy",[SCI-000172#advancedse#chk-2026-254abc-advanced-semantic-an-05],Not Reported,,Not Reported,
